지점명,주소
광명역,"경기도 광명시 양지로 16 (일직동, 광명역써밋플레이스)"
광명소하DT,경기도 광명시 오리로 363 (소하동)
광명소하,경기도 광명시 금하로 464 (소하동)
광명사거리역,경기도 광명시 광명로 907 (광명동)
철산로데오,경기도 광명시 디지털로 17 (철산1동) 가림빌딩
광명하안,경기도 광명시 범안로 1060 (하안동)
광명철산,경기도 광명시 오리로 865 (철산동)
광명AK,"경기도 광명시 양지로 17 (일직동), 1층 일부"
광명롯데몰,경기도 광명시 일직로 17 (일직동) 롯데아울렛 1층
경기광주쌍령DT,경기도 광주시 경충대로 1445 (쌍령동)
경기광주신현DT,경기도 광주시 오포읍 태재로 37 
경기광주송정DT,경기도 광주시 송정동 12-12외 1필지 
경기광주,경기도 광주시 광주대로 35 (경안동)
경기광주초월역DT,경기도 광주시 초월읍 경충대로 1084 
곤지암ICDT,경기도 광주시 곤지암읍 경충대로 765 경충대로 765
구리갈매역,경기도 구리시 경춘북로252 A101 
구리돌다리,"경기도 구리시 검배로 5, 우진빌딩 (수택동)"
구리장자호수,경기도 구리시 장자대로 84 (수택동)1층전체 2층 일부
산본사거리,경기도 군포시 고산로701 
산본,경기도 군포시 산본로343번길 9 (산본동) 1층
산본역,"경기도 군포시 번영로 497, 금화프라자 1층 (산본동)"
산본동,"경기도 군포시 산본로 398, 태주빌딩 2층"
산본역서부사거리,경기도 군포시 번영로 485 (산본동) 롯데피트인 산본 1층 일부
다산지금,경기도 남양주시 다산지금로139 101~106호
남양주연평DT,경기도 남양주시 진접읍 해밀예당1로27 
다산진건,경기도 남양주시 다산중앙로 123번길 22-26 123호~128호 
도농역,경기도 남양주시 미금로 239 1층 101호~106호
남양주진접DT,경기도 남양주시 진접읍 금강로 1477 
리버사이드팔당DTR,경기도 남양주시 와부읍 경강로 772 
별내불암로,경기도 남양주시 별내5로5번길 15 (별내동)
평내DT,경기도 남양주시 경춘로 1269
별내,경기도 남양주시 별내중앙로 64 1-2층
평내호평역,"경기도 남양주시 늘을1로16번길 25, 성보빌딩 (호평동)"
남양주화도DT,경기도 남양주시 화도읍 수레로1137 주1동1~2층
다산DT,경기도 남양주시 다산중앙로 19번길5 (다산동)
남양주삼패,경기도 남양주시 경강로 384 (삼패동)1-2층 옥탑
판교유스페이스,경기도 성남시 분당구 대왕판교로 660 (삼평동)
판교알파돔타워,경기도 성남시 분당구 판교역로 152 (백현동)
판교아비뉴프랑R,"경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스)"
야탑터미널,경기도 성남시 분당구 성남대로925번길 16 (야탑동)
분당이매,경기도 성남시 분당구 이매로 15 (이매동)
분당율동공원,경기도 성남시 분당구 새마을로175번길 4 (율동)
정자동,경기도 성남시 분당구 정자로 82 (정자동)
판교알파돔시티,경기도 성남시 분당구 대왕판교로606번길 10 (백현동 알파돔시티)
서판교,경기도 성남시 분당구 운중로 132 (운중동)
판교브릿지타워,경기도 성남시 분당구 판교로 227번길 6 (삼평동)
판교봇들마을,경기도 성남시 분당구 판교로 372 (삼평동)
판교역로,경기도 성남시 분당구 판교역로 192번길 14 (삼평동)
서현,경기도 성남시 분당구 황새울로360번길 19 (서현동) 금화빌딩
미금역사거리,경기도 성남시 분당구 성남대로 151 (구미동)
수내로,경기도 성남시 분당구 수내로46번길 12 (수내동) 코아빌딩
정자역,경기도 성남시 분당구 성남대로343번길 12-2 (정자동)
분당구청,경기도 성남시 분당구 분당로 43 (서현동)
뉴코아야탑,"경기도 성남시 분당구 야탑로81번길 11, 뉴코아 야탑점 아울렛 1층 (야탑동)"
미금역,경기도 성남시 분당구 돌마로 43 (금곡동) 메디파크빌딩
수내,"경기도 성남시 분당구 황새울로 234, 분당트라팰리스 (수내동)"
정자상떼뷰,"경기도 성남시 분당구 정자일로213번길 18 (정자동, 성원상떼뷰리젠시)"
서현미래에셋,"경기도 성남시 분당구 황새울로359번길 11, 미래에셋빌딩 1층 (서현동)"
야탑글라스,경기도 성남시 분당구 성남대로916번길 11 (야탑동)
정자,"경기도 성남시 분당구 정자일로 166, SPG센터 (정자동)"
분당서울대병원4,"경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 신관 4층 (구미동)"
분당서울대병원1,"경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 신관 1층 (구미동)"
서현N타운,경기도 성남시 분당구 황새울로335번길 5 (서현동)
서현역,"경기도 성남시 분당구 서현로210번길 20, 1층 (서현동)"
오리역,"경기도 성남시 분당구 성남대로 32, 1층 (구미동)"
분당정자,"경기도 성남시 분당구 성남대로 393, 두산위브파빌리온 1층 (정자동)"
수내역,"경기도 성남시 분당구 백현로101번길 30, 1-2층 (수내동)"
정자아데나,경기도 성남시 분당구 성남대로 275 (정자동)
분당이마트,경기도 성남시 분당구 불정로 134 (정자동)
판교H스퀘어,"경기도 성남시 분당구 판교역로 231, 에이치스퀘어 (삼평동)"
오리역삼거리,경기도 성남시 분당구 성남대로 45 (구미동)
판교HIPEX,"경기도 성남시 분당구 판교역로 230, 판교 삼환 HIPEX (삼평동)"
분당서현역AK R,경기도 성남시 분당구 황새울로360번길 42 (서현동)
분당궁내DT,경기도 성남시 분당구 대왕판교로 302 (궁내동)
야탑역사거리,경기도 성남시 분당구 야탑로 102 (야탑동)
남한산성입구역,경기도 성남시 중원구 산성대로426번길 2 (금광동)
단대오거리역,경기도 성남시 중원구 산성대로 340-1 (중앙동)
수원금곡,경기도 수원시 권선구 금곡로 219 (금곡동)
수원세류DT,경기도 수원시 권선구 권선로544번길 1 (세류동)
수원호매실,"경기도 수원시 권선구 서수원로577번길 305 (금곡동, 수원모아미래도센트럴타운2단지)"
수원권선DT,경기도 수원시 권선구 매송고색로 543 (오목천동)
수원권선,경기도 수원시 권선구 동수원로177번길 40 (권선동)
수원이마트,경기도 수원시 권선구 경수대로 270 (권선동) 2층
수원세류역DT,경기도 수원시 권선구 경수대로 185 (세류동)
수원연무DT,경기도 수원시 장안구 창룡대로 171 (연무동)
북수원IC DT,경기도 수원시 장안구 경수대로 1038 (파장동)
수원천천,경기도 수원시 장안구 덕영대로535번길 46 (천천동)
수원성균관대,"경기도 수원시 장안구 서부로 2131, 1층 4,5,6호 2층1,2호 (율전동)"
수원경수인계DT,경기도 수원시 팔달구 경수대로 499 (인계동)
수원KBS DT,경기도 수원시 팔달구 권광로 265 (인계동)
수원인계DT,경기도 수원시 팔달구 인계로94번길 3 (인계동)
수원이비스,경기도 수원시 팔달구 권광로 132 (인계동)
수원매산,경기도 수원시 팔달구 매산로 11 (매산로1가)
동수원DT,경기도 수원시 팔달구 중부대로 161 (우만동)
수원인계,경기도 수원시 팔달구 권광로 199 (인계동)
아주대,경기도 수원시 팔달구 월드컵로 205 (우만동)
수원역AK R,경기도 수원시 팔달구 덕영대로 924 (매산로1가)
시흥대야DT,경기도 시흥시 뱀내장터로 27 (대야동)
배곧아브뉴프랑,경기도 시흥시 서울대학로278번길 34 (정왕동)
시흥대야동,경기도 시흥시 비둘기공원7길 51 (대야동)
배곧신도시,경기도 시흥시 서울대학로278번길 43-13 (정왕동)
시흥대야,경기도 시흥시 비둘기공원로 10 (대야동)
시흥P.아울렛 3F,경기도 시흥시 서해안로 699 (정왕동)
시흥P.아울렛 1F,경기도 시흥시 서해안로 699 (정왕동)
시화로데오,경기도 시흥시 중심상가2길 20-5 (정왕동)
시흥목감DT,경기도 시흥시 동서로 950 (조남동)
시흥은계,경기도 시흥시 은계번영길 9 (은행동)
안산고잔센트럴타워,경기도 안산시 단원구 고잔로 72 (고잔동)
안산상공회의소,경기도 안산시 단원구 적금로 120 (고잔동)
고잔이마트,경기도 안산시 단원구 원포공원1로 46 (초지동) 이마트
안산문화광장,"경기도 안산시 단원구 광덕대로 154, ,771-4 로데오타운1층 (고잔동)"
안산중앙,"경기도 안산시 단원구 고잔로 102, 스타타워 1층 (고잔동)"
안산중앙역,경기도 안산시 단원구 중앙대로 907 (고잔동)
안산트레이더스,경기도 안산시 단원구 중앙대로 397 (신길동)
안성석정DT,경기도 안성시 중앙로 308 (석정동)
안성공도DT,경기도 안성시 공도읍 서동대로 4489 
안성계동DT,경기도 안성시 안성맞춤대로 805 (계동)
스타필드안성R,경기도 안성시 공도읍 서동대로 3930-39 
호계지식산업센터,경기도 안양시 동안구 엘에스로 122 데시앙플렉스 118~123호
평촌역DT,경기도 안양시 동안구 시민대로 373 (관양동)
안양범계,경기도 안양시 동안구 시민대로 206 (호계동)
안양운동장사거리DT,경기도 안양시 동안구 관악대로 234 (비산동)
범계역,경기도 안양시 동안구 시민대로 180 (호계동)
안양호계DT,경기도 안양시 동안구 엘에스로 23-8 (호계동)
평촌호계,경기도 안양시 동안구 평촌대로 123 (호계동)
평촌로데오,경기도 안양시 동안구 관평로 182 (관양동)
평촌역사거리,경기도 안양시 동안구 시민대로 311 금강스마트 빌딩 1층(관양동1746)
안양비산DT,경기도 안양시 동안구 경수대로 821 (비산동)
평촌아크로,"경기도 안양시 동안구 시민대로 230, 평촌아크로타워상가동 2층 8호 (관양동)"
범계로데오,경기도 안양시 동안구 평촌대로 223 (호계동)
인덕원역,"경기도 안양시 동안구 흥안대로 519, 아이퍼스트타워 1~2층 (관양동)"
안양이마트,경기도 안양시 동안구 관악대로 104 (비산동)
안양역R,경기도 안양시 만안구 만안로 232 (안양동) 안양민자역사 1층 001호
명학역,"경기도 안양시 만안구 안양로 96 128,129,130,132,133,134,135,136호"
안양역,경기도 안양시 만안구 장내로 149번길 (안양동)53
안양석수DT,경기도 안양시 만안구 경수대로 1397 (석수동)
안양일번가,경기도 안양시 만안구 안양로292번길 36 (안양동)
양주옥정타운,경기도 양주시 회천남로 76 (옥정동)
양주송추DT,경기도 양주시 장흥면 호국로 528 
양주덕정역DT,경기도 양주시 독바위로 35 (덕정동)
양주고읍DT,경기도 양주시 고덕로351 (고읍동)
양주광사DT,경기도 양주시 부흥로 1872 (광사동)
양주고읍,경기도 양주시 고읍남로 20 (광사동)
양주옥정공원,경기도 양주시 옥정동로7길 30 (옥정동)
북오산IC DT,경기도 오산시 문시로 109-2 
오산세교,경기도 오산시 수청로 193 
오산갈곶DT,"경기도 오산시 경기대로 50, B동 (갈곶동)"
오산IC DT,경기도 오산시 원동로 74(원동)
오산시청,경기도 오산시 운천로 61
오산수청DT,경기도 오산시 경기대로 445 (수청동)
용인세브란스병원,경기도 용인시 기흥구 동백죽전대로 363 (중동)
용인상하DT,경기도 용인시 기흥구 중부대로 771 (상하동)
용인언남,경기도 용인시 기흥구 구성로 120 (언남동)
기흥역AK R,"경기도 용인시 기흥구 기흥역로 63 (구갈동, 기흥역 힐스테이트)"
용인고매동,경기도 용인시 기흥구 신고매로 59 (고매동)
용인보라DT,경기도 용인시 기흥구 용구대로 1877 (보라동)
용인동백DT,경기도 용인시 기흥구 어정로 102 (상하동)
용인마북DT,경기도 용인시 기흥구 용구대로 2330
용인기흥구청,경기도 용인시 기흥구 구갈로 71-18 (신갈동)
수원IC DT,경기도 용인시 기흥구 중부대로 56
용인보정,"경기도 용인시 기흥구 죽전로 20, 죽전누리에뜰상가 (보정동)"
구성트레이더스,경기도 용인시 기흥구 용구대로 2457 (보정동)
강남대,"경기도 용인시 기흥구 강남로 3, 강남&플러스 1층(구갈동)"
용인보정DT,경기도 용인시 기흥구 용구대로2469번길 165 (보정동)
동백이마트,경기도 용인시 기흥구 동백죽전대로 444 (중동)
용인김량장DT,경기도 용인시 처인구 백옥대로 1174 (김량장동)
용인에버랜드R,경기도 용인시 처인구 포곡읍 에버랜드로 199 
용인시청DT,경기도 용인시 처인구 중부대로 1130
용인처인구청,경기도 용인시 처인구 금령로 60 (김량장동)
용인마평DT,경기도 용인시 처인구 금령로 188 (마평동)
의왕청계DT,경기도 의왕시 청계동 829-4 
의왕포일,경기도 의왕시 안양판교로 89 (포일동)
의왕내손,경기도 의왕시 내손중앙로 4 (내손동)  벨포레스퀘어 G111~116호
의왕롯데몰,"경기도 의왕시 바라산로 1 (학의동), GF층 일부"
의정부예술의전당DT,경기도 의정부시 경의로 31 (의정부동)
의정부신곡DT,경기도 의정부시 회룡로 269 
의정부용현DT,경기도 의정부시 시민로 468 (용현동)
의정부공원,경기도 의정부시 평화로 540 (의정부동)
의정부민락,경기도 의정부시 천보로 68 (민락동)
의정부회룡역DT,경기도 의정부시 평화로 341 (호원동)
의정부녹양DT,경기도 의정부시 비우로 119 (가능동)
의정부금오,"경기도 의정부시 청사로48번길 7, 대송프라자 (금오동)"
신세계의정부2F,"경기도 의정부시 평화로 525, 신세계백화점 2층 (의정부동)"
신세계의정부6F,"경기도 의정부시 평화로 525, 신세계백화점 6층 (의정부동)"
의정부민락타운,경기도 의정부시 오목로 196 (민락동)
의정부장암DT,경기도 의정부시 동일로 114 (장암동)
의정부이마트,경기도 의정부시 민락로 210 (민락동)
이천증포DT,경기도 이천시 이섭대천로 1445 (증포동)
이천사음DT,경기도 이천시 경충대로 3045 (사음동)
이천하이닉스,"경기도 이천시 부발읍 경충대로 2100 외 101호, 102호, 201호"
마장휴게소,경기도 이천시 중부대로 중부고속도로 82
이천터미널,경기도 이천시 중리천로 84 (중리동)
포천DT,경기도 포천시 호국로 925 (선단동)
하남미사DT,경기도 하남시 미사강변남로 35 (망월동)
하남황산사거리,경기도 하남시 조정대로 65 (풍산동)
스타필드위례1FR,경기도 하남시 학암동 90-33 위례스타필드
미사역효성,경기도 하남시 아리수로 570 (망월동)
하남덕풍,경기도 하남시 덕풍동 741-2 하남풍산메트하임
하남미사,경기도 하남시 미사강변북로30번길 130 (망월동)
스타필드하남1F(티바나),경기도 하남시 미사대로 750 (신장동)
신세계하남2F,경기도 하남시 미사대로 750 (신장동)
스타필드하남2FR,경기도 하남시 미사대로 750 (신장동)
하남신장,경기도 하남시 신장로 130
하남시청,경기도 하남시 대청로 34 (신장동)
하남풍산역,경기도 하남시 덕풍서로 80 (덕풍동) 빌리브하남 101~106호
화성시청,경기도 화성시 남양읍 시청로 113 
화성봉담,경기도 화성시 봉담읍 동화길 51 
화성향남,경기도 화성시 향남읍 발안로 111 
동탄카림R,"경기도 화성시 동탄대로시범길 134 (청계동, 시범 반도유보라 아이비파크4.0)"
동탄능동DT,경기도 화성시 동탄지성로 201 (능동)
동탄역,경기도 화성시 동탄대로 495 (오산동)
화성병점DT,경기도 화성시 효행로 1013 (진안동)
동탄영천,경기도 화성시 동탄순환대로 692 (영천동)
신영통DT,경기도 화성시 영통로 43 (반월동)
동탄센트럴파크,경기도 화성시 동탄지성로 104 센트럴파티오
동탄,"경기도 화성시 메타폴리스로 54 (반송동, 동탄파라곤II) 1층"
동탄광장,"경기도 화성시 동탄지성로 17, 풍성 위버폴리스  (반송동)"
동탄이마트,"경기도 화성시 동탄중앙로 376, 동탄이마트 1층 (석우동)"
화성봉담DT,경기도 화성시 효행로 219 (기안동)
동탄목동,경기도 화성시 동탄순환대로20길 124 (목동)109호~115호
화성반월DT,경기도 화성시 효행로 1241 (반월동)
송산그린시티,경기도 화성시 수노을중앙로 136 
동탄역롯데R,경기도 화성시 동탄역로 160 롯데백화점 동탄점
화성안녕DT,경기도 화성시 효행로 751 (안녕동)
동탄디엠시티,경기도 화성시 동탄대로 636-14 (영천동 동탄역 대방디엠시티 더 센텀)C-107 108 109 110 C-205 206
화성향남2지구,"경기도 화성시 향남읍 발안양감로 187 발안양감로 187 센트럴프라자1동 108호,204호"
동탄호수공원,경기도 화성시 동탄대로 181 (송동)
삼송역,경기도 고양시 동송로 70 
원흥역,경기도 고양시 덕양구 원흥5로 25 
스타필드고양3F(티바나),경기도 고양시 덕양구 고양대로 1955 (동산동)
스타필드고양1FR,경기도 고양시 덕양구 고양대로 1955 (동산동)
스타필드고양1F고메스트리트,경기도 고양시 덕양구 고양대로 1955 (동산동)
스타필드고양3F잇토피아,경기도 고양시 덕양구 고양대로 1955 (동산동)
고양삼송,경기도 고양시 덕양구 신원동 628-2
고양DT,경기도 고양시 덕양구 호국로 1775 (고양동)
행신역,경기도 고양시 덕양구 충장로 14 (행신동)
원당DT,경기도 고양시 덕양구 호국로 811 (주교동)
화정,경기도 고양시 덕양구 화신로272번길 57 (화정동)
화정역,경기도 고양시 덕양구 화신로260번길 57 (화정동)
고양행신,경기도 고양시 덕양구 충장로 126 (행신동)
고양원흥DT,경기도 고양시 덕양구 서오릉로663번길 8 (원흥동)
고양향동,경기도 고양시 덕양구 꽃마을로 4 (향동동)
화정호국로,경기도 고양시 덕양구 화수로14번길 72 (화정동)
신흥역,경기도 성남시 수정구 산성대로 267 (신흥동)
성남위례,경기도 성남시 수정구 위례광장로 104 (창곡동)
성남이마트,경기도 성남시 수정구 수정로 201 (태평1동) 신세계쉐덴
판교아이스퀘어,경기도 성남시 수정구 창업로 18(시흥동)
여주DT,경기도 여주시 세종로 358 (점봉동)_1
여주P.아울렛입구,경기도 여주시 명품로 360 2004호 (상거동)
여주P.아울렛,경기도 여주시 명품로 360 2400호 (상거동)
평택비전,경기도 평택시 비전5로 20-24 (비전동)
평택서정DT,경기도 평택시 경기대로 1353 (서정동)
평택안중DT,경기도 평택시 안중읍 서동대로 1459 
평택로데오,경기도 평택시 중앙2로 13 (평택동)
평택AK플라자,경기도 평택시 평택로 51 (평택동) 평택역
평택송탄,경기도 평택시 관광특구로 38 (서정동)
평택죽백DT,경기도 평택시 만세로 1707 (죽백동)
평택대DT,경기도 평택시 서동대로 3847 (용이동)
평택세교DT,경기도 평택시 경기대로 625 (세교동)
주엽강선,경기도 고양시 일산서구 주엽동 81 
일산가로수길R,경기도 고양시 일산서구 대화동 1050-185
일산가구단지,경기도 고양시 일산서구 하이파크2로 67 (덕이동)
일산덕이DT,경기도 고양시 일산서구 탄중로 106 (덕이동)
일산후곡,경기도 고양시 일산서구 일산로 541 (일산동)
킨텍스이마트,경기도 고양시 일산서구 킨텍스로 171
일산탄현제니스,경기도 고양시 일산서구 일현로 97-11 (일산위브더제니스스퀘어1동147~151)
대화역,"경기도 고양시 일산서구 중앙로 1559, 시티타워 1~2층 (대화동)"
일산주엽,"경기도 고양시 일산서구 중앙로 1420, 1층 (주엽동)"
현대킨텍스,경기도 고양시 일산서구 호수로 817 현대백화점 킨텍스점 B1 
문촌사거리,경기도 고양시 일산서구 중앙로 1470 (주엽동)
일산탄현동,경기도 고양시 일산서구 일현로 91 (탄현동)
풍무역DT,경기도 김포시 김포대로 657 (풍무동)
풍무사거리DT,경기도 김포시 풍무로 137 
김포아이앤씨,경기도 김포시 태장로 779 (장기동)
김포구래,"경기도 김포시 김포한강4로 487 (구래동, 한강신도시 반도유보라 4차)"
김포장기커낼,"경기도 김포시 김포한강2로 41 (장기동, E편한세상 캐널시티)"
김포감정DT,경기도 김포시 중봉로 27 (감정동)
김포운양,경기도 김포시 김포한강11로 288-32
김포이마트,경기도 김포시 김포한강7로 71
김포풍무DT,경기도 김포시 풍무로 45 (풍무동)
김포시청,경기도 김포시 사우중로 35 (사우동)
김포장기,"경기도 김포시 김포한강4로 117, 홍우프라자 102~105호 (장기동)"
김포석모DT,"경기도 김포시 양촌읍 김포한강4로301 1,2층"
부천상동역,경기도 부천시 길주로 105 (상동)
스타필드부천,경기도 부천시 옥길동 768 스타필드시티부천 
부천옥길,경기도 부천시 옥길로 118 (옥길동)
부천심곡DT,경기도 부천시 부천로 97 (심곡동)
뉴코아부천4층,경기도 부천시 송내대로 239 (상동)
중동이마트,경기도 부천시 석천로 188 (중동)
부천중동DT,경기도 부천시 부흥로 193 (중동)
부천신중동역,경기도 부천시 길주로 281 (중동) 동화빌딩
역곡역DT,경기도 부천시 경인로 485
부천중동,경기도 부천시 신흥로 161 (중동)
부천시청역,"경기도 부천시 길주로 181, 102,103,104,110,111,112호 (중동)"
현대중동,"경기도 부천시 길주로 180, 현대백화점부천중동점 중동점 지하1층 (중동)"
부천플레이도시,경기도 부천시 조마루로 2 (상동)
송내역,"경기도 부천시 부일로 204, 루치올라빌딩 (상동)"
부천,"경기도 부천시 부천로 7, 1,2층 (심곡동)"
부천상동,경기도 부천시 상동로 87 (상동)
부천중동센트럴,"경기도 부천시 소향로 181 (중동, 센트럴파크 푸르지오)"
춘의역DT,경기도 부천시 길주로 386 (춘의동)
신중동,경기도 부천시 신흥로 187 (중동)
광교갤러리아9F,경기도 수원시 영통구 광교호수공원로 320 (하동)
수원법조타운,경기도 수원시 영통구 광교중앙로248번길 7-2 (하동)
광교역,경기도 수원시 영통구 대학로 47 (이의동)
광교엘포트R,경기도 수원시 영통구 광교중앙로 145 (이의동)
영통R,경기도 수원시 영통구 덕영대로 1566 (영통동)
수원망포DT,경기도 수원시 영통구 덕영대로 1467
수원광교,경기도 수원시 영통구 센트럴타운로 85 (이의동) 광교C1호반베르디움
수원트레이더스,경기도 수원시 영통구 삼성로 2 트레이더스수원점 (신동)
경희대국제캠퍼스,경기도 수원시 영통구 덕영대로 1695 (영통동)
수원망포역,경기도 수원시 영통구 영통로 195 (망포동)
광교이마트,경기도 수원시 영통구 광교로 191(이의동)
수원영통,"경기도 수원시 영통구 봉영로 1617, 훼미리타워 1층 (영통동)"
안산한양대,"경기도 안산시 상록구 성안길 82-3, B동 1층 (사동)"
안산한대앞역,"경기도 안산시 상록구 광덕1로 379, 한남빌딩 1~2층 (이동)"
안산삼성프라자,"경기도 안산시 상록구 광덕1로 342 (이동), 1층 일부"
경기양평,경기도 양평군 양평읍 시민로 75 
더양평DTR,경기도 양평군 양평읍 양근로 76 
용인죽전역R,"경기도 용인시 수지구 용구대로 2750 (죽전동, 죽전 효성해링턴 플레이스)"
죽전단국대,경기도 용인시 수지구 죽전로168번길 18 (죽전동)
수지동천,경기도 용인시 수지구 손곡로 
죽전,경기도 용인시 수지구 현암로 140 (죽전동)
수지성복DT,경기도 용인시 수지구 성복2로 55 (성복동)
광교중앙로,경기도 용인시 수지구 광교마을로 41 (상현동)
죽전CGV,경기도 용인시 수지구 포은대로 536 (죽전동) 8층
죽전이마트,"경기도 용인시 수지구 포은대로 552, 이마트 죽전점 1층 (죽전동)"
신세계경기,경기도 용인시 수지구 포은대로 536 (죽전동) 4층
수지이마트,경기도 용인시 수지구 수지로 203 (신봉동)
수지풍덕천,"경기도 용인시 수지구 수지로296번길 51-11, 비즈마루빌딩 1층 101호 (풍덕천동)"
수지성복역,경기도 용인시 수지구 성복2로 37 (성복동)
파주P.아울렛1F,경기도 파주시 필승로 200 
파주야당역,경기도 파주시 야당동 1066-3
파주금촌역,경기도 파주시 문화로 109 (금촌동)
파주금릉역,"경기도 파주시 금릉역로 84, 청원센트럴타워 1층 (금촌동)"
파주운정,경기도 파주시 와석순환로 135
파주P.아울렛3F,경기도 파주시 탄현면 필승로 200 1312호
파주문산DT,경기도 파주시 파주읍 통일로 1555 (봉서리)
파주산내,경기도 파주시 청암로17번길 29 (목동동)
파주야당DT,경기도 파주시 경의로 966 (야당동)
파주운정이마트,경기도 파주시 한울로 123 (동패동)
지행역,경기도 동두천시 지행로 55 (지행동)
동두천DT,경기도 동두천시 평화로 2254 (지행동)
안산삼성프라자,"경기도 안산시 상록구 광덕1로 342 (이동), 1층 일부"
안산한대앞역,"경기도 안산시 상록구 광덕1로 379, 한남빌딩 1~2층 (이동)"
안산한양대,"경기도 안산시 상록구 성안길 82-3, B동 1층 (사동)"
안산문화광장,"경기도 안산시 단원구 광덕대로 154, ,771-4 로데오타운1층 (고잔동)"
송산그린시티,경기도 화성시 수노을중앙로 136 
안산중앙역,경기도 안산시 단원구 중앙대로 907 (고잔동)
안산중앙,"경기도 안산시 단원구 고잔로 102, 스타타워 1층 (고잔동)"
안산고잔센트럴타워,경기도 안산시 단원구 고잔로 72 (고잔동)
광주운남DT,광주광역시 광산구 임방울대로 156 (운남동)
광주선운DT,광주광역시 광산구 선운로 20번길 63 
광주산정DT,광주광역시 광산구 용아로 342 (산정동)
광주흑석DT,광주광역시 광산구 사암로 367 (산정동)
광주송정역,광주광역시 광산구 상무대로205번길 6 (송정동)
광주수완DT,광주광역시 광산구 임방울대로 487 (수완동)
광주신가DT,광주광역시 광산구 목련로 335 (신가동)
광주쌍암,광주광역시 광산구 첨단중앙로 158 (쌍암동)
광주장덕,광주광역시 광산구 장신로 85 (장덕동)
광주하남,"광주광역시 광산구 사암로216번길 38-16, 1~2층 (우산동)"
광주첨단,광주광역시 광산구 첨단중앙로 104 (월계동)
광산수완,"광주광역시 광산구 장신로 134, 1~2층 (수완동)"
광주비아DT,광주광역시 광산구 첨단과기로 81 (비아동)
광주월산DT,광주광역시 남구 대남대로 386
광주주월DT,광주광역시 남구 회재로 1256 (주월동)
광주효천DT,"광주광역시 남구 임암동 141-3, 143-2"
광주봉선로,광주광역시 남구 제석로 104 (봉선동)
광주서문대로,광주광역시 남구 서문대로 665 (진월동)
광주방림DT,광주광역시 남구 대남대로 67 (방림동)
광주봉선중앙,광주광역시 남구 봉선중앙로 51 (봉선동)
광주진월,광주광역시 남구 서문대로 745 (주월동)
광주봉선,"광주광역시 남구 봉선로 176, 1층 101,111호 (봉선동)"
광주지산DT,광주광역시 동구 필문대로 240
광주동명,광주광역시 동구 동명로 16 (동명동)
