업종,가게이름,평가점수,평가인원,리뷰갯수,주소,전화,영업시간,링크주소
치킨,김종용누룽지통닭 등촌점,4.4,10,34,서울 강서구 공항대로61길 21,02-3664-2292,영업시간 월~토 15:00 ~ 01:00,https://place.map.kakao.com/120494339#review
치킨,크치치킨 경희대점,4.6,13,25,서울 동대문구 회기로 125 1층,02-963-9285,영업시간 매일 15:00 ~ 02:00,https://place.map.kakao.com/355730477#review
치킨,달가득치킨,3.6,16,39,서울 은평구 연서로28길 10 1층,02-6101-9390,"영업시간 월,수,목,금,토,일 14:30 ~ 01:30",https://place.map.kakao.com/1477357176#review
치킨,카츠네치킨 교대역본점,4.0,3,66,서울 서초구 반포대로30길 57 1층,02-6052-2128,월~금 11:30 ~ 23:30 · 브레이크타임 월~금 13:30 ~ 17:00,https://place.map.kakao.com/1401055050#review
치킨,가본통닭,4.7,10,23,서울 동작구 노량진로26길 22,02-812-7908,매일 12:00 ~ 21:00,https://place.map.kakao.com/12567362#review
치킨,꼬꼬아찌숯불치킨 왕십리한양대점,1.9,9,32,서울 성동구 마조로1가길 7 사임당빌딩 1층,02-2293-8567,영업시간 매일 15:00 ~ 02:00,https://place.map.kakao.com/1229275513#review
치킨,명가통닭 본점,3.3,6,33,서울 동대문구 전농로 105 1층,02-2215-3333,매일 13:00 ~ 24:00,https://place.map.kakao.com/1047284842#review
치킨,아웃닭 이대점,4.2,23,19,서울 서대문구 이화여대5길 16,02-363-4375,영업시간 매일 14:30 ~ 24:00,https://place.map.kakao.com/651885428#review
치킨,치맥파이브 경희대점,4.5,13,55,서울 동대문구 회기로21길 8-6,02-966-7850,영업시간 월~토 17:00 ~ 24:00,https://place.map.kakao.com/26609336#review
치킨,사이치킨,3.9,28,47,서울 종로구 백석동길 1,,,https://place.map.kakao.com/9621624#review
치킨,참나무숯불통닭,4.8,16,32,서울 영등포구 도림로 382,02-836-8228,영업시간 월~토 17:00 ~ 01:00,https://place.map.kakao.com/24769374#review
치킨,오유니통닭 방배점,4.4,17,29,서울 서초구 방배로 83-18,02-588-8316,영업시간 매일 15:00 ~ 03:00,https://place.map.kakao.com/27599503#review
치킨,경원치킨 본점,3.6,17,34,서울 관악구 봉천로 600-1,02-876-3303,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/27580388#review
치킨,도담치킨 한양대점,4.0,12,60,서울 성동구 마조로1가길 14,02-2295-9253,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/1609269590#review
치킨,치킨인더키친 홍대본점,4.2,41,39,서울 마포구 와우산로29길 4-42 2층,070-7526-2487,영업시간 월~금 17:00 ~ 00:00,https://place.map.kakao.com/16378493#review
치킨,꼬꼬아찌숯불치킨 신촌점,3.4,21,26,서울 서대문구 연세로9길 16 1층,02-336-8743,영업시간 매일 15:00 ~ 02:00,https://place.map.kakao.com/983739106#review
치킨,BBQ 패밀리타운점,3.4,11,72,서울 송파구 중대로 64 1층,02-404-8480,매일 09:00 ~ 24:00,https://place.map.kakao.com/266652655#review
치킨,순수치킨 신사점,2.3,6,15,서울 강남구 강남대로156길 31-9 2층,02-516-3392,영업시간 매일 15:00 ~ 01:00,https://place.map.kakao.com/1395969091#review
치킨,문어앤치킨 삼성점,3.8,4,78,서울 강남구 삼성로104길 24,02-517-1943,영업시간 매일 17:00 ~ 03:00,https://place.map.kakao.com/27285902#review
치킨,감미치킨,4.1,16,32,서울 송파구 토성로 55,02-488-1294,영업시간 월~금 16:00 ~ 02:00,https://place.map.kakao.com/16047009#review
치킨,교촌치킨 역삼1호점,2.6,25,21,서울 강남구 강남대로66길 16,02-566-9942,화~토 11:00 ~ 05:50,https://place.map.kakao.com/16055409#review
치킨,컬투치킨 합정점,4.5,8,38,서울 마포구 성지1길 6 1층,0507-744-8999,영업시간 월~금 15:00 ~ 01:00,https://place.map.kakao.com/24634934#review
치킨,푸라닭치킨 화곡역점,2.7,11,98,서울 강서구 화곡로 139,02-2607-9206,매일 12:00 ~ 02:00,https://place.map.kakao.com/1026328920#review
치킨,닭만리 성신여대점,2.6,8,30,서울 성북구 보문로30라길 14 1층,0507-1327-2590,영업시간 매일 17:00 ~ 24:00,https://place.map.kakao.com/477769582#review
치킨,바보스치킨 모래내시장점,4.5,6,1,"서울 서대문구 수색로2길 7 101,102,103호",02-3152-5592,영업시간 매일 15:30 ~ 01:00,https://place.map.kakao.com/1851025353#review
치킨,교촌치킨 여의도점,1.5,35,13,서울 영등포구 여의대방로67길 11 잡지정보회관 1층,02-769-1555,매일 12:00 ~ 24:00,https://place.map.kakao.com/8211425#review
치킨,교촌치킨 구로디지털점,4.3,15,18,서울 구로구 디지털로26길 110,02-856-5542,매일 12:00 ~ 24:00,https://place.map.kakao.com/24769004#review
치킨,오늘통닭 수유본점,3.4,11,157,서울 강북구 도봉로 384,02-994-0964,"월,화,수,목,일 11:00 ~ 24:00",https://place.map.kakao.com/12275806#review
치킨,칠칠켄터키신촌점 (2021년 12월 예정),3.7,18,19,서울 서대문구 연세로9길 14,02-336-1977,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/24228363#review
치킨,바른치킨 건대역점,4.6,30,27,"서울 광진구 아차산로29길 7 1,2층",02-466-6001,영업시간 매일 14:00 ~ 03:00,https://place.map.kakao.com/27306030#review
치킨,홈타운바베큐치킨,4.9,11,19,서울 성북구 서경로 92,02-914-0011,월~금 12:00 ~ 01:00,https://place.map.kakao.com/16040192#review
치킨,노랑통닭 영등포역점,4.1,33,50,서울 영등포구 영등포로50길 8-3,02-3667-8292,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/27224740#review
치킨,쌀통닭 신천점,2.8,10,11,서울 송파구 올림픽로10길 13,02-421-5235,월~금 12:00 ~ 02:00,https://place.map.kakao.com/24195658#review
치킨,교촌치킨 홍대점,2.2,17,10,서울 마포구 양화로16길 6,02-338-1300,매일 12:00 ~ 24:00,https://place.map.kakao.com/807263903#review
치킨,계림원 공덕역점,3.8,15,60,서울 마포구 새창로 24 1층,02-711-8892,영업시간 매일 17:00 ~ 02:00,https://place.map.kakao.com/27099024#review
치킨,교촌치킨 까치산역점,1.4,15,8,서울 강서구 곰달래로 125 라인씨티 1층,02-2602-1991,매일 11:00 ~ 02:00,https://place.map.kakao.com/27585635#review
치킨,꼬꼬아찌숯불치킨 신림역점,3.8,12,36,서울 관악구 남부순환로176길 6,02-883-7869,영업시간 매일 15:00 ~ 02:00,https://place.map.kakao.com/1479824234#review
치킨,효도치킨 광화문점,4.4,10,14,서울 종로구 사직로8길 21-1,02-737-0628,매일 11:30 ~ 23:00,https://place.map.kakao.com/1748735049#review
치킨,굽네치킨 염창역점,3.7,13,34,서울 양천구 공항대로 644,02-2648-9294,매일 12:00 ~ 23:00,https://place.map.kakao.com/514579645#review
치킨,교촌치킨 신림3호점,2.1,15,3,서울 관악구 신림로11길 13,02-877-3688,매일 12:00 ~ 24:00,https://place.map.kakao.com/10146051#review
치킨,김종용누룽지통닭 까치산역점,4.5,6,34,서울 강서구 곰달래로 138-2 1층,02-2607-9282,영업시간 월~토 16:00 ~ 02:00,https://place.map.kakao.com/27383300#review
치킨,이태원숯불바베큐치킨,2.3,4,24,서울 용산구 녹사평대로 224-1,02-795-7293,영업시간 매일 16:00 ~ 23:00,https://place.map.kakao.com/9016344#review
치킨,계인전,4.1,12,11,서울 용산구 장문로 84 1층,070-7783-7007,영업시간 화~일 18:00 ~ 24:00,https://place.map.kakao.com/992138176#review
치킨,마마치킨 영등포시장점,4.0,4,18,서울 영등포구 영등포로46길 5-1,02-2634-9199,영업시간 매일 15:00 ~ 04:00,https://place.map.kakao.com/1418573183#review
치킨,한국통닭,0.0,0,1,서울 종로구 종로 304,010-3737-2443,,https://place.map.kakao.com/1155739247#review
치킨,종구네통닭,4.6,14,23,서울 동대문구 홍릉로1길 47,02-967-8449,매일 11:30 ~ 22:00,https://place.map.kakao.com/27446296#review
치킨,캔프치킨,4.3,9,14,서울 서초구 반포대로24길 96 구산빌딩 1층,02-521-1108,영업시간 월~토 15:00 ~ 23:00,https://place.map.kakao.com/25413258#review
치킨,돌쇠참나무장작구이,4.2,5,20,서울 성북구 동소문로20길 31,02-929-1585,,https://place.map.kakao.com/1176475273#review
치킨,교촌치킨 논현1호점,2.2,26,18,서울 강남구 학동로2길 50 1층,02-540-2182,매일 12:00 ~ 03:00,https://place.map.kakao.com/23700231#review
치킨,낭만치맥 가양본점,3.8,5,36,서울 강서구 양천로 492 길훈엔트러스빌 1층 101호,02-3664-5152,영업시간 매일 15:00 ~ 02:00,https://place.map.kakao.com/27373205#review
치킨,교촌치킨 강남역점,2.8,9,17,서울 서초구 강남대로69길 10 1층,02-596-1991,매일 08:00 ~ 04:00,https://place.map.kakao.com/2000639999#review
치킨,교촌치킨 신촌점,2.4,27,8,서울 서대문구 명물길 21,02-312-1991,매일 12:00 ~ 24:00,https://place.map.kakao.com/26602826#review
치킨,다시올치킨,4.2,13,16,서울 성동구 사근동8길 8,02-2293-8979,월~토 07:00 ~ 24:00,https://place.map.kakao.com/15553391#review
치킨,남원통닭,4.3,14,61,서울 동대문구 홍릉로1길 39,02-968-9841,매일 10:00 ~ 22:00,https://place.map.kakao.com/27323391#review
치킨,노랑통닭 구로디지털역점,4.7,27,50,서울 구로구 디지털로32나길 17-22,02-867-1118,영업시간 매일 15:00 ~ 01:00,https://place.map.kakao.com/1144357686#review
치킨,한강치킨 본점,1.9,27,7,서울 용산구 이촌로75길 12,02-795-2668,매일 12:00 ~ 02:00,https://place.map.kakao.com/11892440#review
치킨,동네아저씨 신촌점,4.3,8,6,서울 서대문구 연세로7길 27,010-2100-3165,,https://place.map.kakao.com/21554885#review
치킨,BBQ 가산디지털단지점,2.2,17,6,서울 금천구 디지털로 210 1층,02-851-9282,매일 11:00 ~ 22:00,https://place.map.kakao.com/398905798#review
치킨,푸라닭치킨 신천점,2.8,21,20,서울 송파구 백제고분로7길 50-1,02-419-9206,영업시간 매일 16:00 ~ 03:00,https://place.map.kakao.com/1056133302#review
치킨,BBQ 석촌2점,2.0,4,21,서울 송파구 석촌호수로18길 11,02-422-6459,매일 10:30 ~ 01:30,https://place.map.kakao.com/8576843#review
치킨,교촌치킨 숙대점,3.8,6,15,"서울 용산구 청파로47길 14 1, 2층",02-707-2577,매일 12:00 ~ 24:00,https://place.map.kakao.com/11245716#review
치킨,BHC치킨 종로점,2.4,26,22,서울 종로구 삼일대로19길 16,02-732-2200,매일 12:00 ~ 01:00,https://place.map.kakao.com/340151491#review
치킨,교촌치킨 압구정신사점,1.4,21,10,서울 강남구 언주로172길 29 대성빌딩 1층 전체,02-547-9945,매일 12:00 ~ 02:00,https://place.map.kakao.com/8189461#review
치킨,BHC치킨 양재역점,2.5,12,4,서울 서초구 강남대로 224 휴플러스 101호,02-577-8378,매일 12:00 ~ 24:00,https://place.map.kakao.com/1533092419#review
치킨,교촌치킨 중곡1호점,3.0,10,4,서울 광진구 긴고랑로 40,02-446-9908,매일 12:00 ~ 24:00,https://place.map.kakao.com/8195179#review
